#        v1 v2 v3 v4 v5 v6 v7 v8 v9v10v11v12v13v14v15v16

021_A0   1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16

024_C1   1  2  2  4  5  6  7  8  9 10 11 12 13 14 15 16
027_D#1  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16
# Note: Since F#1 is broken, all new F#1s are generated from A1.
030_F#1  1  2  3  4  5  5  7  8  9 10 11 11 12 13 14 15 A1 -3
033_A1   1  2  3  4  5  5  7  8  9 10 11 11 12 13 14 15

036_C2   1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16
039_D#2  1  2  2  3  4  6  7  8  9 10 11 12 13 14 15 16
# Note: F#2v1 and F#2v2 is removed because there is bom-bom-bom sound when striking strings.
042_F#2  3  3  5  6  6  7  8  9 10 10 11 13 14 15 15 16
045_A2   1  2  3  4  5  6  7  8  9 11 11 12 13 14 15 16

048_C3   1  3  4  5  6  7  8  9 10 11 12 13 14 14 15 16
051_D#3  1  2  3  4  4  5  7  8  9 10 11 12 13 14 15 16
054_F#3  1  2  3  4  4  5  6  7  9 10 11 12 13 14 15 15
057_A3   2  3  4  6  7  8  9 10 11 11 12 13 13 14 15 16

# Note: C4v9 is removed because there is a note that is struck twice.
060_C4   1  2  3  4  5  6  7  8 10 10 10 11 12 13 15 16
063_D#4  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16
066_F#4  1  2  3  4  6  7  8  9 10 11 12 13 14 15 16 16
069_A4   1  2  4  4  5  6  7  8  9 10 11 12 13 14 15 16

# Note: Overall, the overtones of C5 are too strong.
072_C5   1  2  3  3  4  4  5  6  7  8  9 10 11 12 13 14
075_D#5  1  2  3  4  6  7  8  9 10 11 12 13 14 15 15 16
078_F#5  1  2  4  5  6  7  8  9 10 11 12 13 14 15 16 16
081_A5   2  3  4  5  6  7  8  9 10 11 12 12 13 14 15 16

084_C6   1  3  3  4  6  6  7  8  9  9 10 11 12 13 14 15
087_D#6  1  3  3  4  5  6  7  8  9 10 11 12 13 14 15 16
090_F#6  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16
093_A6   1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16

096_C7   1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16
099_D#7  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16
102_F#7  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16
105_A7   2  3  4  4  5  6  7  8  9 10 11 12 13 14 15 16

108_C8   1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16

